dataset,feature_specification,sample_size,metric,mean_difference,sd_difference,corrected_se_difference,ci_lower,ci_upper,n_folds
Ames Housing,Extended,2930,MAE,0.008593098033565283,0.0029421351249311854,0.00197364424150079,0.0031142616191590904,0.014071934447971475,5
Ames Housing,Extended,2930,R2,0.014701998638353041,0.005035001007234906,0.0033775813556871483,0.005325832794965518,0.024078164481740563,5
Ames Housing,Extended,2930,RMSE,0.010153072885324896,0.004330051174812635,0.0029046866318801633,0.0020896627952255633,0.018216482975424227,5
Ames Housing,Parsimonious,2930,MAE,0.009012890622268765,0.0028454616550290827,0.0019087937064042257,0.003714079293290635,0.014311701951246895,5
Ames Housing,Parsimonious,2930,R2,0.01819055091174071,0.012889797225596217,0.0086467388437864,-0.005812796118610332,0.04219389794209175,5
Ames Housing,Parsimonious,2930,RMSE,0.007557501063967198,0.005637198833471521,0.0037815479382974516,-0.0029400760127465267,0.018055078140680924,5
California Housing,Extended,20640,MAE,0.04740122464159494,0.0015030162441432755,0.0010082539479572352,0.04460231168206566,0.050200137601124226,5
California Housing,Extended,20640,R2,0.058845167254297025,0.0023509297322791647,0.0015770516075104782,0.054467271991847935,0.06322306251674611,5
California Housing,Extended,20640,RMSE,0.04531451326696566,0.0025748867419473154,0.0017272865368071469,0.04051956584078902,0.050109460693142295,5
California Housing,Parsimonious,20640,MAE,0.005471187781021303,0.0010862251905133075,0.0007286620094581246,0.003448422042765549,0.0074939535192770565,5
California Housing,Parsimonious,20640,R2,0.011967265009132321,0.0016351745579154232,0.0010969084399731158,0.008922247179766953,0.01501228283849769,5
California Housing,Parsimonious,20640,RMSE,0.0055585668683003076,0.0007365005162864106,0.0004940595659640315,0.004187057513184156,0.006930076223416459,5
King County,Extended,21613,MAE,0.013763794075578923,0.0012690293646967282,0.0008512907774715768,0.011400610877317826,0.01612697727384002,5
King County,Extended,21613,R2,0.015791988214603103,0.0005337771169597856,0.00035806857550678097,0.014797989848996279,0.016785986580209928,5
King County,Extended,21613,RMSE,0.013587990353707818,0.0005305738622817997,0.00035591976694401476,0.012599957080671232,0.014576023626744403,5
King County,Parsimonious,21613,MAE,0.007721160070701338,0.0005813283154072409,0.0003899668891488087,0.006638611986424245,0.008803708154978431,5
King County,Parsimonious,21613,R2,0.015139037760531516,0.002068585508697429,0.0013876493444155303,0.011286923180434004,0.01899115234062903,5
King County,Parsimonious,21613,RMSE,0.006374191565899479,0.0010114937235564017,0.0006785306174059483,0.004490590571980566,0.008257792559818391,5
